Date,Country,region,cases,deaths,recoveries,delta cases,delta deaths,delta recoveries
2003-03-17,Germany,western_europe,1,0,0,0.0,0.0,0.0
2003-03-17,Singapore,south_east_asian,61,1,0,61.0,2.0,1.0
2003-03-17,Thailand,south_east_asian,61,1,0,1.0,1.0,1.0
2003-03-17,Viet Nam,south_east_asian,61,1,0,1.0,1.0,1.0
2003-03-17,"Hong Kong SAR, China",east_asian,95,1,0,35.0,1.0,1.0
2003-03-18,Germany,western_europe,3,0,0,0.0,0.0,0.0
2003-03-18,United Kingdom,western_europe,3,0,0,1.0,1.0,1.0
2003-03-18,Singapore,south_east_asian,81,1,0,79.0,2.0,1.0
2003-03-18,Thailand,south_east_asian,81,1,0,1.0,1.0,1.0
2003-03-18,Viet Nam,south_east_asian,81,1,0,1.0,1.0,1.0
2003-03-18,China,east_asian,126,1,0,46.0,1.0,1.0
2003-03-18,"Hong Kong SAR, China",east_asian,126,1,0,1.0,1.0,1.0
2003-03-18,"Taiwan, China",east_asian,126,1,0,1.0,1.0,1.0
2003-03-19,Germany,western_europe,3,0,0,0.0,0.0,0.0
2003-03-19,Spain,western_europe,3,0,0,1.0,1.0,1.0
2003-03-19,United Kingdom,western_europe,3,0,0,1.0,1.0,1.0
2003-03-19,Singapore,south_east_asian,88,2,0,86.0,3.0,1.0
2003-03-19,Thailand,south_east_asian,88,2,0,1.0,1.0,1.0
2003-03-19,Viet Nam,south_east_asian,88,2,0,1.0,1.0,1.0
2003-03-19,China,east_asian,153,5,0,66.0,4.0,1.0
2003-03-19,"Hong Kong SAR, China",east_asian,153,5,0,1.0,1.0,1.0
2003-03-19,"Taiwan, China",east_asian,153,5,0,1.0,1.0,1.0
2003-03-20,Germany,western_europe,4,0,0,0.0,0.0,0.0
2003-03-20,Spain,western_europe,4,0,0,1.0,1.0,1.0
2003-03-20,United Kingdom,western_europe,4,0,0,1.0,1.0,1.0
2003-03-20,Singapore,south_east_asian,97,2,0,94.0,3.0,1.0
2003-03-20,Thailand,south_east_asian,97,2,0,1.0,1.0,1.0
2003-03-20,Viet Nam,south_east_asian,97,2,0,1.0,1.0,1.0
2003-03-20,China,east_asian,177,6,0,81.0,5.0,1.0
2003-03-20,"Hong Kong SAR, China",east_asian,177,6,0,1.0,1.0,1.0
2003-03-20,"Taiwan, China",east_asian,177,6,0,1.0,1.0,1.0
2003-03-21,Germany,western_europe,5,0,0,0.0,0.0,0.0
2003-03-21,Italy,western_europe,5,0,0,1.0,1.0,1.0
2003-03-21,Spain,western_europe,5,0,0,1.0,1.0,1.0
2003-03-21,United Kingdom,western_europe,5,0,0,1.0,1.0,1.0
2003-03-21,Singapore,south_east_asian,105,2,0,101.0,3.0,1.0
2003-03-21,Thailand,south_east_asian,105,2,0,1.0,1.0,1.0
2003-03-21,Viet Nam,south_east_asian,105,2,0,1.0,1.0,1.0
2003-03-21,China,east_asian,209,6,0,105.0,5.0,1.0
2003-03-21,"Hong Kong SAR, China",east_asian,209,6,0,1.0,1.0,1.0
2003-03-21,"Taiwan, China",east_asian,209,6,0,1.0,1.0,1.0
2003-03-22,Germany,western_europe,7,0,0,0.0,0.0,0.0
2003-03-22,Italy,western_europe,7,0,0,1.0,1.0,1.0
2003-03-22,Spain,western_europe,7,0,0,1.0,1.0,1.0
2003-03-22,United Kingdom,western_europe,7,0,0,1.0,1.0,1.0
2003-03-22,Singapore,south_east_asian,111,2,0,105.0,3.0,1.0
2003-03-22,Thailand,south_east_asian,111,2,0,1.0,1.0,1.0
2003-03-22,Viet Nam,south_east_asian,111,2,0,1.0,1.0,1.0
2003-03-22,China,east_asian,228,7,0,118.0,6.0,1.0
2003-03-22,"Hong Kong SAR, China",east_asian,228,7,0,1.0,1.0,1.0
2003-03-22,"Taiwan, China",east_asian,228,7,0,1.0,1.0,1.0
2003-03-24,France,western_europe,11,0,0,0.0,0.0,0.0
2003-03-24,Germany,western_europe,11,0,0,1.0,1.0,1.0
2003-03-24,Italy,western_europe,11,0,0,1.0,1.0,1.0
2003-03-24,Spain,western_europe,11,0,0,1.0,1.0,1.0
2003-03-24,United Kingdom,western_europe,11,0,0,1.0,1.0,1.0
2003-03-24,Singapore,south_east_asian,128,4,0,118.0,5.0,1.0
2003-03-24,Thailand,south_east_asian,128,4,0,1.0,1.0,1.0
2003-03-24,Viet Nam,south_east_asian,128,4,0,1.0,1.0,1.0
2003-03-24,China,east_asian,266,10,0,139.0,7.0,1.0
2003-03-24,"Hong Kong SAR, China",east_asian,266,10,0,1.0,1.0,1.0
2003-03-24,"Taiwan, China",east_asian,266,10,0,1.0,1.0,1.0
2003-03-25,France,western_europe,10,0,0,0.0,0.0,0.0
2003-03-25,Germany,western_europe,10,0,0,1.0,1.0,1.0
2003-03-25,Italy,western_europe,10,0,0,1.0,1.0,1.0
2003-03-25,United Kingdom,western_europe,10,0,0,1.0,1.0,1.0
2003-03-25,Singapore,south_east_asian,132,4,0,123.0,5.0,1.0
2003-03-25,Thailand,south_east_asian,132,4,0,1.0,1.0,1.0
2003-03-25,Viet Nam,south_east_asian,132,4,0,1.0,1.0,1.0
2003-03-25,China,east_asian,292,10,0,161.0,7.0,1.0
2003-03-25,"Hong Kong SAR, China",east_asian,292,10,0,1.0,1.0,1.0
2003-03-25,"Taiwan, China",east_asian,292,10,0,1.0,1.0,1.0
2003-03-26,France,western_europe,11,0,0,0.0,0.0,0.0
2003-03-26,Germany,western_europe,11,0,0,1.0,1.0,1.0
2003-03-26,Italy,western_europe,11,0,0,1.0,1.0,1.0
2003-03-26,United Kingdom,western_europe,11,0,0,1.0,1.0,1.0
2003-03-26,Singapore,south_east_asian,135,5,0,125.0,6.0,1.0
2003-03-26,Thailand,south_east_asian,135,5,0,1.0,1.0,1.0
2003-03-26,Viet Nam,south_east_asian,135,5,0,1.0,1.0,1.0
2003-03-26,China,east_asian,1114,41,0,980.0,37.0,1.0
2003-03-26,"Hong Kong SAR, China",east_asian,1114,41,0,1.0,1.0,1.0
2003-03-26,"Taiwan, China",east_asian,1114,41,0,1.0,1.0,1.0
2003-03-27,France,western_europe,10,0,0,0.0,0.0,0.0
2003-03-27,Germany,western_europe,10,0,0,1.0,1.0,1.0
2003-03-27,Italy,western_europe,10,0,0,1.0,1.0,1.0
2003-03-27,United Kingdom,western_europe,10,0,0,1.0,1.0,1.0
2003-03-27,Singapore,south_east_asian,139,6,0,130.0,7.0,1.0
2003-03-27,Thailand,south_east_asian,139,6,0,1.0,1.0,1.0
2003-03-27,Viet Nam,south_east_asian,139,6,0,1.0,1.0,1.0
2003-03-27,China,east_asian,1179,44,0,1041.0,39.0,1.0
2003-03-27,"Hong Kong SAR, China",east_asian,1179,44,0,1.0,1.0,1.0
2003-03-27,"Taiwan, China",east_asian,1179,44,0,1.0,1.0,1.0
2003-03-28,France,western_europe,10,0,0,0.0,0.0,0.0
2003-03-28,Germany,western_europe,10,0,0,1.0,1.0,1.0
2003-03-28,Italy,western_europe,10,0,0,1.0,1.0,1.0
2003-03-28,United Kingdom,western_europe,10,0,0,1.0,1.0,1.0
2003-03-28,Singapore,south_east_asian,147,6,0,138.0,7.0,1.0
2003-03-28,Thailand,south_east_asian,147,6,0,1.0,1.0,1.0
2003-03-28,Viet Nam,south_east_asian,147,6,0,1.0,1.0,1.0
2003-03-28,China,east_asian,1241,44,0,1095.0,39.0,1.0
2003-03-28,"Hong Kong SAR, China",east_asian,1241,44,0,1.0,1.0,1.0
2003-03-28,"Taiwan, China",east_asian,1241,44,0,1.0,1.0,1.0
2003-03-29,France,western_europe,10,0,0,0.0,0.0,0.0
2003-03-29,Germany,western_europe,10,0,0,1.0,1.0,1.0
2003-03-29,Italy,western_europe,10,0,0,1.0,1.0,1.0
2003-03-29,United Kingdom,western_europe,10,0,0,1.0,1.0,1.0
2003-03-29,Singapore,south_east_asian,150,7,0,141.0,8.0,1.0
2003-03-29,Thailand,south_east_asian,150,7,0,1.0,1.0,1.0
2003-03-29,Viet Nam,south_east_asian,150,7,0,1.0,1.0,1.0
2003-03-29,China,east_asian,1286,44,0,1137.0,38.0,1.0
2003-03-29,"Hong Kong SAR, China",east_asian,1286,44,0,1.0,1.0,1.0
2003-03-29,"Taiwan, China",east_asian,1286,44,0,1.0,1.0,1.0
2003-03-31,France,western_europe,11,0,0,0.0,0.0,0.0
2003-03-31,Germany,western_europe,11,0,0,1.0,1.0,1.0
2003-03-31,Italy,western_europe,11,0,0,1.0,1.0,1.0
2003-03-31,United Kingdom,western_europe,11,0,0,1.0,1.0,1.0
2003-03-31,Singapore,south_east_asian,154,7,0,144.0,8.0,1.0
2003-03-31,Thailand,south_east_asian,154,7,0,1.0,1.0,1.0
2003-03-31,Viet Nam,south_east_asian,154,7,0,1.0,1.0,1.0
2003-03-31,China,east_asian,1346,47,0,1193.0,41.0,1.0
2003-03-31,"Hong Kong SAR, China",east_asian,1346,47,0,1.0,1.0,1.0
2003-03-31,"Taiwan, China",east_asian,1346,47,0,1.0,1.0,1.0
2003-04-01,France,western_europe,12,0,0,0.0,0.0,0.0
2003-04-01,Germany,western_europe,12,0,0,1.0,1.0,1.0
2003-04-01,Italy,western_europe,12,0,0,1.0,1.0,1.0
2003-04-01,United Kingdom,western_europe,12,0,0,1.0,1.0,1.0
2003-04-01,Singapore,south_east_asian,156,8,0,145.0,9.0,1.0
2003-04-01,Thailand,south_east_asian,156,8,0,1.0,1.0,1.0
2003-04-01,Viet Nam,south_east_asian,156,8,0,1.0,1.0,1.0
2003-04-01,China,east_asian,1504,50,0,1349.0,43.0,1.0
2003-04-01,"Hong Kong SAR, China",east_asian,1504,50,0,1.0,1.0,1.0
2003-04-01,"Taiwan, China",east_asian,1504,50,0,1.0,1.0,1.0
2003-04-02,France,western_europe,13,0,0,0.0,0.0,0.0
2003-04-02,Germany,western_europe,13,0,0,1.0,1.0,1.0
2003-04-02,Italy,western_europe,13,0,0,1.0,1.0,1.0
2003-04-02,Spain,western_europe,13,0,0,1.0,1.0,1.0
2003-04-02,United Kingdom,western_europe,13,0,0,1.0,1.0,1.0
2003-04-02,Singapore,south_east_asian,160,10,0,148.0,11.0,1.0
2003-04-02,Thailand,south_east_asian,160,10,0,1.0,1.0,1.0
2003-04-02,Viet Nam,south_east_asian,160,10,0,1.0,1.0,1.0
2003-04-02,China,east_asian,1911,62,0,1752.0,53.0,1.0
2003-04-02,"Hong Kong SAR, China",east_asian,1911,62,0,1.0,1.0,1.0
2003-04-02,"Taiwan, China",east_asian,1911,62,0,1.0,1.0,1.0
2003-04-03,France,western_europe,14,0,0,0.0,0.0,0.0
2003-04-03,Germany,western_europe,14,0,0,1.0,1.0,1.0
2003-04-03,Italy,western_europe,14,0,0,1.0,1.0,1.0
2003-04-03,United Kingdom,western_europe,14,0,0,1.0,1.0,1.0
2003-04-03,Singapore,south_east_asian,164,10,0,151.0,11.0,1.0
2003-04-03,Thailand,south_east_asian,164,10,0,1.0,1.0,1.0
2003-04-03,Viet Nam,south_east_asian,164,10,0,1.0,1.0,1.0
2003-04-03,China,east_asian,1938,63,0,1775.0,54.0,1.0
2003-04-03,"Hong Kong SAR, China",east_asian,1938,63,0,1.0,1.0,1.0
2003-04-03,"Taiwan, China",east_asian,1938,63,0,1.0,1.0,1.0
2003-04-04,France,western_europe,15,0,0,0.0,0.0,0.0
2003-04-04,Germany,western_europe,15,0,0,1.0,1.0,1.0
2003-04-04,Italy,western_europe,15,0,0,1.0,1.0,1.0
2003-04-04,Spain,western_europe,15,0,0,1.0,1.0,1.0
2003-04-04,United Kingdom,western_europe,15,0,0,1.0,1.0,1.0
2003-04-04,Singapore,south_east_asian,166,11,0,152.0,12.0,1.0
2003-04-04,Thailand,south_east_asian,166,11,0,1.0,1.0,1.0
2003-04-04,Viet Nam,south_east_asian,166,11,0,1.0,1.0,1.0
2003-04-04,China,east_asian,1996,66,0,1831.0,56.0,1.0
2003-04-04,"Hong Kong SAR, China",east_asian,1996,66,0,1.0,1.0,1.0
2003-04-04,"Taiwan, China",east_asian,1996,66,0,1.0,1.0,1.0
2003-04-05,France,western_europe,16,0,0,0.0,0.0,0.0
2003-04-05,Germany,western_europe,16,0,0,1.0,1.0,1.0
2003-04-05,Italy,western_europe,16,0,0,1.0,1.0,1.0
2003-04-05,Spain,western_europe,16,0,0,1.0,1.0,1.0
2003-04-05,United Kingdom,western_europe,16,0,0,1.0,1.0,1.0
2003-04-05,Malaysia,south_east_asian,168,13,0,153.0,14.0,1.0
2003-04-05,Singapore,south_east_asian,168,13,0,1.0,1.0,1.0
2003-04-05,Thailand,south_east_asian,168,13,0,1.0,1.0,1.0
2003-04-05,Viet Nam,south_east_asian,168,13,0,1.0,1.0,1.0
2003-04-05,China,east_asian,2037,69,0,1870.0,57.0,1.0
2003-04-05,"Hong Kong SAR, China",east_asian,2037,69,0,1.0,1.0,1.0
2003-04-05,"Taiwan, China",east_asian,2037,69,0,1.0,1.0,1.0
2003-04-07,France,western_europe,17,0,0,0.0,0.0,0.0
2003-04-07,Germany,western_europe,17,0,0,1.0,1.0,1.0
2003-04-07,Italy,western_europe,17,0,0,1.0,1.0,1.0
2003-04-07,Spain,western_europe,17,0,0,1.0,1.0,1.0
2003-04-07,United Kingdom,western_europe,17,0,0,1.0,1.0,1.0
2003-04-07,Malaysia,south_east_asian,176,13,0,160.0,14.0,1.0
2003-04-07,Singapore,south_east_asian,176,13,0,1.0,1.0,1.0
2003-04-07,Thailand,south_east_asian,176,13,0,1.0,1.0,1.0
2003-04-07,Viet Nam,south_east_asian,176,13,0,1.0,1.0,1.0
2003-04-07,China,east_asian,2172,76,0,1997.0,64.0,1.0
2003-04-07,"Hong Kong SAR, China",east_asian,2172,76,0,1.0,1.0,1.0
2003-04-07,"Taiwan, China",east_asian,2172,76,0,1.0,1.0,1.0
2003-04-08,France,western_europe,18,0,0,0.0,0.0,0.0
2003-04-08,Germany,western_europe,18,0,0,1.0,1.0,1.0
2003-04-08,Italy,western_europe,18,0,0,1.0,1.0,1.0
2003-04-08,Spain,western_europe,18,0,0,1.0,1.0,1.0
2003-04-08,United Kingdom,western_europe,18,0,0,1.0,1.0,1.0
2003-04-08,Malaysia,south_east_asian,183,15,0,166.0,16.0,1.0
2003-04-08,Singapore,south_east_asian,183,15,0,1.0,1.0,1.0
2003-04-08,Thailand,south_east_asian,183,15,0,1.0,1.0,1.0
2003-04-08,Viet Nam,south_east_asian,183,15,0,1.0,1.0,1.0
2003-04-08,China,east_asian,2226,78,0,2044.0,64.0,1.0
2003-04-08,"Hong Kong SAR, China",east_asian,2226,78,0,1.0,1.0,1.0
2003-04-08,"Taiwan, China",east_asian,2226,78,0,1.0,1.0,1.0
2003-04-09,France,western_europe,18,0,0,0.0,0.0,0.0
2003-04-09,Germany,western_europe,18,0,0,1.0,1.0,1.0
2003-04-09,Italy,western_europe,18,0,0,1.0,1.0,1.0
2003-04-09,Spain,western_europe,18,0,0,1.0,1.0,1.0
2003-04-09,United Kingdom,western_europe,18,0,0,1.0,1.0,1.0
2003-04-09,Malaysia,south_east_asian,188,16,0,171.0,17.0,1.0
2003-04-09,Singapore,south_east_asian,188,16,0,1.0,1.0,1.0
2003-04-09,Thailand,south_east_asian,188,16,0,1.0,1.0,1.0
2003-04-09,Viet Nam,south_east_asian,188,16,0,1.0,1.0,1.0
2003-04-09,China,east_asian,2269,80,0,2082.0,65.0,1.0
2003-04-09,"Hong Kong SAR, China",east_asian,2269,80,0,1.0,1.0,1.0
2003-04-09,"Taiwan, China",east_asian,2269,80,0,1.0,1.0,1.0
2003-04-10,France,western_europe,19,0,6,0.0,0.0,0.0
2003-04-10,Germany,western_europe,19,0,6,1.0,1.0,1.0
2003-04-10,Italy,western_europe,19,0,6,1.0,1.0,1.0
2003-04-10,Spain,western_europe,19,0,6,1.0,1.0,1.0
2003-04-10,United Kingdom,western_europe,19,0,6,1.0,1.0,1.0
2003-04-10,Malaysia,south_east_asian,198,16,123,180.0,17.0,118.0
2003-04-10,Singapore,south_east_asian,198,16,123,1.0,1.0,1.0
2003-04-10,Thailand,south_east_asian,198,16,123,1.0,1.0,1.0
2003-04-10,Viet Nam,south_east_asian,198,16,123,1.0,1.0,1.0
2003-04-10,China,east_asian,2307,85,1184,2110.0,70.0,1062.0
2003-04-10,"Hong Kong SAR, China",east_asian,2307,85,1184,1.0,1.0,1.0
2003-04-10,"Taiwan, China",east_asian,2307,85,1184,1.0,1.0,1.0
2003-04-11,France,western_europe,20,0,9,0.0,0.0,0.0
2003-04-11,Germany,western_europe,20,0,9,1.0,1.0,1.0
2003-04-11,Italy,western_europe,20,0,9,1.0,1.0,1.0
2003-04-11,Spain,western_europe,20,0,9,1.0,1.0,1.0
2003-04-11,United Kingdom,western_europe,20,0,9,1.0,1.0,1.0
2003-04-11,Malaysia,south_east_asian,206,16,125,187.0,17.0,117.0
2003-04-11,Singapore,south_east_asian,206,16,125,1.0,1.0,1.0
2003-04-11,Thailand,south_east_asian,206,16,125,1.0,1.0,1.0
2003-04-11,Viet Nam,south_east_asian,206,16,125,1.0,1.0,1.0
2003-04-11,China,east_asian,2389,90,1212,2184.0,75.0,1088.0
2003-04-11,"Hong Kong SAR, China",east_asian,2389,90,1212,1.0,1.0,1.0
2003-04-11,"Taiwan, China",east_asian,2389,90,1212,1.0,1.0,1.0
2003-04-12,France,western_europe,21,0,10,0.0,0.0,0.0
2003-04-12,Germany,western_europe,21,0,10,1.0,1.0,1.0
2003-04-12,Italy,western_europe,21,0,10,1.0,1.0,1.0
2003-04-12,Spain,western_europe,21,0,10,1.0,1.0,1.0
2003-04-12,United Kingdom,western_europe,21,0,10,1.0,1.0,1.0
2003-04-12,Malaysia,south_east_asian,159,12,82,139.0,13.0,73.0
2003-04-12,Singapore,south_east_asian,159,12,82,1.0,1.0,1.0
2003-04-12,Thailand,south_east_asian,159,12,82,1.0,1.0,1.0
2003-04-12,China,east_asian,2502,97,1305,2344.0,86.0,1224.0
2003-04-12,"Hong Kong SAR, China",east_asian,2502,97,1305,1.0,1.0,1.0
2003-04-12,"Taiwan, China",east_asian,2502,97,1305,1.0,1.0,1.0
2003-04-12,China,east_asian,2502,97,1305,1.0,1.0,1.0
2003-04-14,France,western_europe,21,0,10,0.0,0.0,0.0
2003-04-14,Germany,western_europe,21,0,10,1.0,1.0,1.0
2003-04-14,Italy,western_europe,21,0,10,1.0,1.0,1.0
2003-04-14,Spain,western_europe,21,0,10,1.0,1.0,1.0
2003-04-14,United Kingdom,western_europe,21,0,10,1.0,1.0,1.0
2003-04-14,Indonesia,south_east_asian,235,20,136,215.0,21.0,127.0
2003-04-14,Malaysia,south_east_asian,235,20,136,1.0,1.0,1.0
2003-04-14,Philippines,south_east_asian,235,20,136,1.0,1.0,1.0
2003-04-14,Singapore,south_east_asian,235,20,136,1.0,1.0,1.0
2003-04-14,Thailand,south_east_asian,235,20,136,1.0,1.0,1.0
2003-04-14,Viet Nam,south_east_asian,235,20,136,1.0,1.0,1.0
2003-04-14,China,east_asian,2631,111,1324,2397.0,92.0,1189.0
2003-04-14,"Hong Kong SAR, China",east_asian,2631,111,1324,1.0,1.0,1.0
2003-04-14,"Taiwan, China",east_asian,2631,111,1324,1.0,1.0,1.0
2003-04-15,France,western_europe,21,0,10,0.0,0.0,0.0
